"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1046","filters by country","main","2026-04-13","passed","2026-04-13","Photo flows > search and filter","photos.spec.ts","",""
"","1695","edit page shows accessedBy chip with grantee display name, not user id","main","2026-04-13","passed","2026-04-13","Private photo share (accessedBy)","photos.spec.ts","",""
"","739","full-size link points to correct URL","main","2026-04-13","passed","2026-04-13","Photo flows > photo detail","photos.spec.ts","",""
"","1126","filters by tag","main","2026-04-13","passed","2026-04-13","Photo flows > search and filter","photos.spec.ts","",""
"","996","guest cannot open shared private photo by direct link","main","2026-04-13","passed","2026-04-13","Private photo share (accessedBy)","photos.spec.ts","",""
"","1361","views photo gallery","main","2026-04-13","passed","2026-04-13","Photo flows > authenticated user","photos.spec.ts","",""
"","1400","goes to photo by click","main","2026-04-13","passed","2026-04-13","Photo flows > unauthenticated user","photos.spec.ts","",""
"","5764","cache lifecycle: response cache and urlCache","cache","2026-04-13","passed","2026-04-13","Photo gallery caching","photos-cache.spec.ts","",""
"","1819","edits photo","main","2026-04-13","passed","2026-04-13","Photo flows > authenticated user","photos.spec.ts","",""
"","1274","uploads photo","main","2026-04-13","passed","2026-04-13","Photo flows > authenticated user","photos.spec.ts","",""
"","978","upload route is hidden for guests (not-found, URL unchanged)","main","2026-04-13","passed","2026-04-13","Photo flows > unauthenticated user","photos.spec.ts","",""
"","1460","views photo gallery","main","2026-04-13","passed","2026-04-13","Photo flows > unauthenticated user","photos.spec.ts","",""
"","1597","shows error on invalid credentials","main","2026-04-13","passed","2026-04-13","Login flow","auth.spec.ts","",""
"","1705","deletes photo","main","2026-04-13","passed","2026-04-13","Photo flows > authenticated user","photos.spec.ts","",""
"","761","photo detail shows date and tags","main","2026-04-13","passed","2026-04-13","Photo flows > photo detail","photos.spec.ts","",""
"","1390","grantee sees shared private photo in gallery","main","2026-04-13","passed","2026-04-13","Private photo share (accessedBy)","photos.spec.ts","",""
"","2136","edit page can re-add grantee from suggestions; chip shows display name","main","2026-04-13","passed","2026-04-13","Private photo share (accessedBy)","photos.spec.ts","",""
"","1040","filters by non-existent tag shows empty gallery","main","2026-04-13","passed","2026-04-13","Photo flows > search and filter","photos.spec.ts","",""
"","771","photo detail without metadata hides date and tags","main","2026-04-13","passed","2026-04-13","Photo flows > photo detail","photos.spec.ts","",""
"","1030","fails to open private photo by direct link","main","2026-04-13","passed","2026-04-13","Photo flows > unauthenticated user","photos.spec.ts","",""
"","1412","goes to photo by click","main","2026-04-13","passed","2026-04-13","Photo flows > authenticated user","photos.spec.ts","",""
"","1589","opens private photo","main","2026-04-13","passed","2026-04-13","Photo flows > authenticated user","photos.spec.ts","",""
"","1731","redirects to home on successful login and logs out","main","2026-04-13","passed","2026-04-13","Login flow","auth.spec.ts","",""
